endTime,artistName,trackName,msPlayed
2019-12-15 23:51,The Internet,Girl (feat. KAYTRANADA),466486
2019-12-16 00:42,Tame Impala,List Of People (To Try And Forget About),279986
2019-12-16 00:46,Tame Impala,Powerlines,258706
2019-12-16 00:51,Tame Impala,Taxi’s Here,287306
2019-12-16 00:56,Tame Impala,Yes I'm Changing,270680
2019-12-16 00:56,Tame Impala,Reality In Motion - GUM Remix,16552
2019-12-16 00:59,Tame Impala,Let It Happen,181556
2019-12-16 01:04,Tame Impala,Let It Happen,286271
2019-12-16 01:06,Tame Impala,Love/Paranoia,158935
2019-12-16 02:43,Tame Impala,Love/Paranoia,26832
2019-12-16 02:44,Tame Impala,Nangs,107533
2019-12-16 02:46,Tame Impala,Yes I'm Changing,2414
2019-12-16 02:46,Tame Impala,The Moment,102349
2019-12-16 02:46,Tame Impala,Gossip,1555
2019-12-16 02:46,Tame Impala,Eventually,1764
2019-12-16 02:50,Tame Impala,The Less I Know The Better,216320
2019-12-16 02:52,Tame Impala,Past Life,128171
2019-12-16 02:54,KAYTRANADA,DO IT,132360
2019-12-16 02:58,KAYTRANADA,2 The Music,235280
2019-12-16 03:01,KAYTRANADA,Go DJ,156946
2019-12-16 03:03,KAYTRANADA,Gray Area (feat. Mick Jenkins),139653
2019-12-16 03:05,KAYTRANADA,Puff Lah,113346
2019-12-16 03:08,KAYTRANADA,10%,186680
2019-12-16 03:10,KAYTRANADA,Need It,137706
2019-12-16 03:14,KAYTRANADA,Taste,217320
2019-12-16 03:17,KAYTRANADA,Oh No,167573
2019-12-16 03:20,KAYTRANADA,What You Need,183786
2019-12-16 03:22,KAYTRANADA,Vex Oh (feat. Eight9FLY),162146
2019-12-16 03:25,KAYTRANADA,Scared To Death,153360
2019-12-16 03:28,KAYTRANADA,Freefall,181160
2019-12-16 03:38,KAYTRANADA,Culture,248906
2019-12-16 03:42,KAYTRANADA,The Worst In Me,226720
2019-12-16 03:44,KAYTRANADA,September 21,111880
2019-12-16 03:49,KAYTRANADA,Free Things in Life,19736
2019-12-16 03:49,KAYTRANADA,Midsection,289426
2019-12-16 03:50,KAYTRANADA,DO IT,72771
2019-12-16 03:57,Freemasons,"La Serenissima - Theme from ""Venice in Peril""",383360
2019-12-16 03:58,Jakatta,One Fine Day,79690
2019-12-16 04:01,James Horner,Hymn to the Sea,175008
2019-12-16 04:16,James Horner,Hymn to the Sea,16068
2019-12-16 04:20,KAYTRANADA,2 The Music,235280
2019-12-16 04:22,KAYTRANADA,Go DJ,156946
2019-12-16 04:25,KAYTRANADA,Gray Area (feat. Mick Jenkins),139653
2019-12-16 04:27,KAYTRANADA,Puff Lah,107643
2019-12-16 18:17,KAYTRANADA,Puff Lah,113346
2019-12-16 18:20,KAYTRANADA,Need It,4294
2019-12-16 18:20,KAYTRANADA,10%,186680
